Order,ID,Theatre,Name,Original_Revival,Play_Musical,Genre,Sub_Genre,Opening,Closing,Performance Count,Cast Size,Capacity
869,TheCrippleofInishmaan2014,Cort ,The Cripple of Inishmaan,Original,Play,,,"Apr 20, 2014","Jul 20, 2014",105,13,1084
870,TheCrucible1991,Belasco ,The Crucible,Revival,Play,Drama,,"Dec 10, 1991","Jan 05, 1992",31,28,1018
871,TheCrucible2002,August Wilson ,The Crucible,Revival,Play,Drama,,"Mar 07, 2002","Jun 09, 2002",101,26,1228
872,TheCrucible2016,Walter Kerr ,The Crucible,Revival,Play,Drama,,"Mar 31, 2016","Jul 17, 2016",125,24,945
873,TheCuriousIncidentoftheDogintheNight-Time2014,Ethel Barrymore ,The Curious Incident of the Dog in the Night-Time,Original,Play,,,"Oct 05, 2014","Sep 04, 2016",799,15,1096
874,TheDeepBlueSea1998,Criterion Center Stage Right,The Deep Blue Sea,Revival,Play,Drama,,"Mar 26, 1998","May 10, 1998",61,12,499
875,TheDevil'sDisciple1988,Circle in the Square ,The Devil's Disciple,Revival,Play,Comedy,,"Nov 13, 1988","Feb 19, 1989",113,18,840
876,TheDiaryofAnneFrank1997,Music Box ,The Diary of Anne Frank,Revival,Play,Drama,,"Dec 04, 1997","Jun 14, 1998",221,15,1009
877,TheDinnerParty2000,Music Box ,The Dinner Party,Original,Play,,,"Oct 19, 2000","Sep 01, 2001",364,9,1009
878,TheDrowsyChaperone2006,Marquis ,The Drowsy Chaperone,Original,Musical,Comedy,,"May 01, 2006","Dec 30, 2007",674,21,1612
879,TheElephantMan2002,Bernard B. Jacobs ,The Elephant Man,Revival,Play,Drama,,"Apr 14, 2002","Jun 02, 2002",57,12,1078
880,TheElephantMan2014,Booth ,The Elephant Man,Revival,Play,Drama,,"Dec 07, 2014","Feb 21, 2015",83,14,766
881,TheEncounter2016,John Golden ,The Encounter,Original,Play,Solo,,"Sep 29, 2016","Jan 08, 2017",117,2,805
882,TheFarnsworthInvention2007,Music Box ,The Farnsworth Invention,Original,Play,Drama,,"Dec 03, 2007","Mar 02, 2008",104,22,1009
883,TheFather1996,Criterion Center Stage Right,The Father,Revival,Play,Drama,,"Jan 11, 1996","Feb 18, 1996",52,11,499
884,TheFather2016,Samuel J. Friedman ,The Father,Original,Play,Drama,,"Apr 14, 2016","Jun 19, 2016",78,9,650
886,TheFloweringPeach1994,Lyceum ,The Flowering Peach,Revival,Play,Drama,,"Mar 20, 1994","Apr 24, 1994",41,14,922
887,TheFrogs2004,Vivian Beaumont ,The Frogs,Original,Musical,Comedy,,"Jul 22, 2004","Oct 10, 2004",92,28,1080
888,TheFrontPage1986,Vivian Beaumont ,The Front Page,Revival,Play,Comedy,,"Nov 23, 1986","Jan 11, 1987",57,25,1080
